
Organisation for Economic Co-operation and Development 

OECD Existing Chemicals Database
	
Click on an item ...

    Home
    Search
    SIDS contacts
    Sponsored chemicals
    Category chemicals
    Help

 
Reports

    Overall Status
    All Sponsored Substances
    Publications

 

	
List of all chemicals

CAS number	Chemical Name	Synonyms
999-81-5	Ethanaminium, 2-chloro-N,N,N-trimethyl-	Chlormequat chloride
999-97-3	Silanamine, trimethyl-N-trimethylsilyl-	1,1,1,3,3,3-Hexamethyldisilazane
1002-62-6	Sodium decanoate; Decanoic acid, sodium salt	 
1002-89-7	Azanium octadecanoate; Octadecanoic acid, ammonium salt	 
1003-14-1	Propyloxirane	 
1047-16-1	Quino[2,3-b]acridine-7,14-dione, 5,12-dihydro-	Quino(2,3-bis(acridine-7,14-dione), 5,12-dihydro-
1066-33-7	Ammonium hydrogencarbonate	Carbonic acid, monoammonium salt
1066-35-9	Silane, chlorodimethyl-	 
1066-40-6	Trimethylsilanol	 
1066-42-8	dimethylsilanediol	 
1067-53-4	2,5,7,10-Tetraoxa-6-silaundecane, 6-ethenyl-6-(2-methoxyethoxy)-	 
1070-00-4	Aluminium, trioctyl-	Trioctylaluminium
1071-22-3	Propanenitrile, 3-(trichlorosilyl)-	 
1071-83-6	Glycine, N-(phosphonomethyl)- (Glyphosate)	Glyphosate
1071-93-8	Hexanedioic acid, 1,6-dihydrazide	 
1072-15-7	n-Nonylsulfate, sodium salt (C9 ASO4 Na)	 
1072-35-1	Lead distearate	Lead (II) octadecanoate
1076-97-7	1,4-Cyclohexanedicarboxylic acid	 
1085-98-9	Dichlofluanid	 
1103-38-4	C.I. Pigment Red 49, barium salt (2:1)	1-Naphthalenesulfonic acid, 2-[(2-hydroxy-1-naphthalenyl)azo]-, barium salt
1112-39-6	Silane, dimethoxydimethyl-	 
1115-08-8	3-Methylpenta-1,4-diene	 
1115-20-4	Propanoic acid, 3-hydroxy-2,2-dimethyl-, 3-hydroxy-2,2-dimethylpropyl ester	3-Hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethylproponate
1116-70-7	Aluminum, tributyl-	Tributylaluminium
1116-73-0	Aluminum, trihexyl-	 
1117-41-5	3,5,9-Undecatriene-2-one, 3,6,10-trimethyl	Isomethylpseudojonon
1118-46-3	Stannane, butyltrichloro-	 
1119-40-0	Glutaric acid, dimethyl ester	Pentanedioic acid, dimethyl ester
1120-01-0	Sulfuric acid, mono-hexadecyl ester, sodium salt (C16 ASO4 Na)	 
1120-04-3	Sulfuric acid, mono-octadecyl ester, sodium salt (C18 ASO4 Na)	 
1120-21-4	n-Undecane	 
1120-24-7	1-Decanamine, N,N-dimethyl-	 
1120-36-1	1-Tetradecene	 
1120-49-6	Didecylamine	 
1126-34-7	Sodium 3-aminobenzenesulfonate	 
1134-23-2	S-Ethyl N-cyclohexylthiocarbamate	 
1141-38-4	2,6-Naphthalenedicarboxylic acid	 
1151-14-0	Benzoic acid, 2-(4-ethylbenzoyl)-	2-(4-Ethylbenzoyl)benzoic acid
1156-19-0	Tolazamide	 
1163-19-5	Benzene, 1,1'-oxybis[2,3,4,5,6-pentabromo]-	Bis(pentabromophenyl) ether
1184-58-3	Aluminum, chlorodimethyl-	 
1185-55-3	Silane, trimethoxymethyl-	 
1191-15-7	Diisobutylaluminium hydride	 
1191-50-0	Sulfuric acid, mono-tetradecyl ester, sodium salt (C14 ASO4 Na)	 
1193-21-1	4,6-Dichloropyrimidine	 
1195-92-2	7-Oxabicyclo[4.1.0]heptane, 1-methyl-4-(1-methylethenyl)-	 
1203-17-4	1H-Indene, 2,3-dihydro-1,1,2,3,3-pentamethyl-	1,1,2,3,3-pentamethylindan
1208-52-2	Benzenamine, 2-[(4-aminophenyl)methyl]-	 
1217-08-9	1H-Indene-5-ethanol, 2,3-dihydro-beta,1,1,2,3,3-hexamethyl-	beta-1,1,2,3,3-hexamethylindan-5-ethanol
1222-05-5	Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-	1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylindeno[5,6-c]pyran
1241-94-7	Phosphoric acid, 2-ethylhexyl diphenyl ester	2-Ethylhexyl-diphenyl phosphate
1300-51-2	Benzenesulfonic acid, hydroxy-, monosodium salt	 
1300-71-6	Phenol, dimethyl-	Xylenol
1300-72-7	Benzenesulfonic acid, dimethyl-, sodium salt	Xylenesulfonic acid, sodium salt
1302-42-7	Aluminium sodium dioxide	Alminate sodium
1302-67-6	Spinel (Mg(AlO2)2)	Spinel (Mg(AlO2)2)
1302-76-7	Kyanite	 
1302-78-9	Bentonite	Bentolite
1302-84-7	Chiolite (Na5(Al3F14))	 
1302-93-8	Mullite	 
1303-28-2	Arsenic oxide (As2O5)	 
1303-33-9	Arsenic sulphide	 
1303-86-2	Diboron trioxide	Boron oxide (B2O3)
1303-96-4	Borax (Na2(B4O7).10H2O)	 
1304-28-5	Barium oxide (BaO)	 
1304-76-3	Bismuth oxide (Bi2O3)	 
1305-62-0	Calcium dihydroxide	Calcium hydroxide
1305-78-8	Calcium oxide	 
1306-06-5	Hydroxylapatite (Ca5(OH)(PO4)3)	 
1306-19-0	Cadmium oxide	 
1306-38-3	Cerium dioxide	 
1307-86-4	Cobalt [III] hydroxide	 
1307-96-6	Cobalt oxide (CoO)	 
1308-04-9	Cobalt [III] oxide	 
1308-06-1	Tricobalt tetraoxide	Cobalt oxide (Co3O4)
1308-14-1	Dichromium trioxide hydrate	 
1308-31-2	Chromite (Cr2Fe04)	 
1308-38-9	Chromium (III) oxide (Cr2O3)	Chromium (III) oxide (Cr2O3)
1309-33-7	Iron hydroxide (Fe(OH)3)	 
1309-36-0	Pyrite (FeS2)	Pyrite (FeS2)
1309-37-1	Diiron trioxide	Iron Oxide
1309-38-2	Magnetite	 
1309-42-8	Magnesium hydroxide	 
1309-48-4	Magnesium oxide	 
1309-56-4	Molybdenite	 
1309-60-0	Lead dioxide	 
1309-64-4	Diantimony trioxide	Antimony (III) oxide (Sb2O3)
1310-58-3	Potassium hydroxide	 
1310-65-2	Lithium hydroxide	 
1310-73-2	Sodium hydroxide	 
1312-43-2	Indium oxide (In2O3)	 
1312-76-1	Potassium silicate	 
1312-81-8	Lanthanum oxide (La2O3)	 
1313-13-9	Manganese dioxide (MnO2)	Manganese dioxide (MnO2)
1313-27-5	Molybdenum trioxide	Molybdenum oxide (MoO3)
1313-59-3	Sodium oxide	 
1313-82-2	Disodium sulfide	Sodium sulfide (Na2S)
1313-96-8	Niobium oxide (Nb2O5)	 
1313-97-9	Neodymium oxide	 
1313-99-1	Nickel monoxide	Nickel (II) oxide
1314-13-2	Zinc oxide	 
1314-22-3	Zinc peroxide (ZnO2)	 
1314-23-4	Zirconium dioxide	 
1314-27-8	Lead oxide (Pb2O3)	 
1314-34-7	Divanadium trioxide	Vanadium (III) oxide
1314-35-8	Tungsten oxide (WO3)	 
1314-41-6	Lead oxide (Pb3O4)	Orange lead
1314-56-3	Phosphorus pentoxide (P2O5)	Phosphorous oxide
1314-62-1	Divanadium pentaoxide	Vanadium (V) oxide
1314-80-3	Diphosphorus pentasulfide	Phosphorus sulfide (P2S5)
1314-87-0	Lead sulfide	 
1314-98-3	Zinc sulfide	 
1317-33-5	Molybdenum disulfide	Molybdenum sulfide (MoS2)
1317-34-6	Manganese (III) oxide	 
1317-35-7	Trimanganese tetraoxide	Manganese oxide (Mn3O4)
1317-36-8	Lead monoxide (PbO)	Lead monoxide (PbO)
1317-38-0	Copper (II) oxide (CuO)	Copper oxide
1317-39-1	Copper (I) oxide (Cu2O)	Dicopper oxide
1317-40-4	Copper sulfide	 
1317-42-6	Cobalt sulphide	 
1317-60-8	Hematite	 
1317-61-9	Triiron tetraoxide	Iron oxide (Fe3O4)
1317-65-3	Limestone	 
1317-70-0	Anatase (TiO2)	Anatase (TiO2)
1317-71-1	Olivine-group minerals	 
1317-80-2	Rutile (TiO2)	Rutile, (TiO2)
1317-98-2	Valentinite	 
1318-02-1	Zeolites	 
1318-23-6	Boehmite (Al(OH)O)	Boehmite (Al(OH)O)
1318-59-8	Chlorite-group minerals	 
1318-74-7	Kaolinite	 
1319-73-9	Methylstyrene, mixed isomers	 
1319-77-3	Cresol, mixed	Phenol, methyl-
1321-12-6	Toluene, nitro-	Nitrotoluene
1321-69-3	Naphthalene sulfonic acid sodium salt	 
1321-74-0	Benzene, diethenyl-	Benzene, divinyl-
1321-94-4	Naphthalene, methyl-	Methylnaphthalene
1322-98-1	Benzenesulfonic acid, decyl, sodium salt	Benzenesulfonic acid, decyl-, Na salt
1323-39-3	Octadecanoic acid, 1,2-propanediol monoester	 
1323-83-7	Octadecanoic acid, diester with 1,2,3-propanetriol	 
1324-76-1	C.I. Pigment Blue 61	 
1326-82-5	C.I. Sulphur Black 1	 
1327-36-2	Aluminatesilicate	Aluminosilicate
1327-41-9	Aluminium chlorohydrate	Aluminium chloride, basic
1327-53-3	Arsenic oxide (As2O3)	Diarsenic trioxide
1328-53-6	C.I. Pigment Green 7	 
1330-20-7	Xylene(s)	Benzene, dimethyl-
1330-43-4	Disodium tetraborate, anhydrous	Boron sodium oxide (B4Na2O7)
1330-61-6	Isodecyl acrylate	Acrylic acid, isodecyl ester
1330-78-5	Tritolyl phosphate	Phosphoric acid, tris(mrthylphenyl)ester
1330-86-5	Diisooctyl adipate	Hexanedioic acid, diisooctyl ester
1331-61-9	Benzenesulfonic acid, dodecyl-, ammonium	 
1332-37-2	Iron oxide	 
1332-58-7	Kaolin	 
1332-65-6	Dicopper chloride trihydroxide	 
1333-07-9	Toluenesulfonamide	ar-Toluenesulfonamide
1333-39-7	Benzenesulfonic acid, hydroxy-	Hydroxybenzenesulphonic acid
1333-74-0	Hydrogen	Hydrogen gas
1333-82-0	Chromium trioxide	Chromium oxide
1333-83-1	Sodium hydrogendifluoride	 
1333-86-4	Carbon black	 
1335-25-7	Lead oxide	 
1335-46-2	Ionone, methyl-	 
1336-21-6	Ammonium hydroxide	Ammonia, aqueous solution
1338-23-4	2-Butanone, peroxide	 
1338-24-5	Naphthenic acids	 
1338-39-2	Sorbitan, monododecanoate	Sorbitan laurate
1338-41-6	Sorbitan, monooctadecanoate	 
1338-43-8	Sorbitan monooleate	Sorbitan, mono-(9Z)-9-octadecenoate
1340-69-8	Quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, salts with bentonite	 
1341-49-7	Ammonium hydrogendifluoride ((NH4)(HF2))	Ammonium fluoride
1343-88-0	Silicic acid, magnesium salt	 
1343-98-2	Silicic acid	 
1344-00-9	Silicic acid, aluminium sodium salt	Zeolite
1344-08-7	Sodium sulfide (Na2(Sx))	Sodium sulfide (Na2(Sx))
1344-09-8	Sodium silicate	Silicic acid, sodium salt
1344-28-1	Aluminium oxide	 
1344-37-2	C.I Pigment Yellow 34	 
1344-40-7	Lead oxide phosphonate (Pb3O2(HPO3)), hemihydrate	 
1344-43-0	Manganese (II) oxide	 
1344-81-6	Calcium sulfide (Ca(Sx))	 
1344-95-2	Silicic acid, calcium salt	 
1345-04-6	Antimony sulphide	 
1345-05-7	C.I. Pigment White 5	 
1345-16-0	C.I. Pigment Blue 28	 
1401-55-4	Tannins	 
1405-54-5	Tylosin, [R-(R*,R*)]-2,3-dihydroxybutanedioate (salt)	 
1445-45-0	Ethane, 1,1,1-trimethoxy-	Orthoacetic acid, trimethyl ester
1459-93-4	Dimethyl isophthalate	1,3-Benzenedicarboxylic acid, dimethyl ester
1460-02-2	1,3,5-Tri-tert-butylbenzene	 
1461-22-9	Stannane, tributylchloro-	Tributyltin chloride
1461-25-2	Stannane, tetrabutyl-	Tetrabutyltin
1477-55-0	m-Phenylene-bis(methylamine)	1,3-Benzenedimethanamine
1490-04-6	DL-menthol	 
1506-02-1	Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-	5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl-ethanon
1515-72-6	1H-Isoindole-1,3(2H)-dione, 2-butyl-	 
1529-57-3	Aluminum, trieicosyl-	 
1529-58-4	Aluminium, tritetradecyl-	 
1529-59-5	Aluminium, tridodecyl-	 
1530-32-1	Triphenylethylphosphonium bromide	 
1552-12-1	(Z,Z)-cycloocta-1,5-diene	 
1552-42-7	1(3H)-Isobenzofuranone, 6-(dimethylamino)-3,3-bis[4-(dimethylamino)phenyl]-	 
1558-33-4	Silane, dichloro(chloromethyl)methyl-	 
1559-34-8	1-Hexadecanol, 3,6,9,12-tetraoxa-	3,6,9,12-tetraoxahexadecan-1-ol
1561-92-8	Sodium 2-propene-2-methyl-1-sulfonate	 
1562-00-1	Sodium 2-hydroxyethanesulfonate	Ethanesulfonic acid, 2-hydroxy-, monosodium salt
1563-66-2	7-Benzofuranol, 2,3-dihydro-2,2-dimethyl, methylcarbamate	Carbofuran
1569-01-3	2-Propanol, 1-propoxy-	 
1569-02-4	2-Propanol, 1-ethoxy-	1-Ethoxypropan-2-ol
1569-69-3	Cyclohexanethiol	 
1570-64-5	Phenol, 4-chloro-2-methyl-	4-Chloro-o-cresol
1571-08-0	Terephthalaldehydic acid, methyl ester	Benzoic acid, 4-formyl-, methyl ester
1574-41-0	(Z)-Penta-1,3-diene	 
1577-03-3	1-Penten-3-one, 1-(4-chlorophenyl)-4,4-dimethyl-	 
1582-09-8	Trifluralin	 
1589-47-5	1-Propanol, 2-methoxy-	2-Methoxy-1-propanol
1592-23-0	Calcium distearate	Octadecanoic acid, calcium salt
1599-67-3	1-Docosene	 
1623-19-4	Triallyl phosphate	 
1633-05-2	Strontium carbonate	Carbonic acid, strontium salt (1:1)
1634-04-4	Methyl t-butyl ether	Propane, 2-methoxy-2-methyl-
1640-89-7	Ethylcyclopentane	 
1643-20-5	1-Dodecanamine, N,N-dimethyl-, N-oxide	Dodecylamine, N,N-dimethyl-, N-oxide
1646-75-9	Propanal, 2-methyl-2-(methylthio)-, oxime	 
1653-19-6	1,3-Butadiene, 2,3-dichloro-	2,3-dichlorobuta-1,3-diene
1655-29-4	Disodium 1,5-naphthalenesulfonate	 
1663-39-4	tert-Butyl acrylate	1,1-Dimethylethyl acrylate
1667-10-3	1,1'-Biphenyl, 4,4'-bis(chloromethyl)- 	 
1675-54-3	Bisphenol A, diglycidyl ether	Oxirane, 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis-
1678-91-7	Ethyl cyclohexane	 
1689-99-2	2,6-dibromo-4-cyanophenyl octanoate	 
1698-53-9	2H-Pyridazinone, 4,5-dichloro-2-phenyl-	 
1698-60-8	Chloridazon	 
1704-62-7	Ethanol, 2-[2-(dimethylamino)ethoxy]-	 
1709-70-2	Phenol, 4,4',4''-[(2,4,6-trimethyl-1,3,5-benzenetriyl)tris(methylene)]tris[2,6-bis(1,1-dimethylethyl)-	Cresol, .alpha.,.alpha.',.alpha.''-(trimethyl-s-phenenyl)t
1717-00-6	Ethane, 1,1-dichloro-1-fluoro-	1,1-Dichloro-1-fluoroethane
1719-58-0	Silane, chloroethenyldimethyl-	 
1724-39-6	Cyclododecanol	 
1726-65-4	Aluminum, trihexadecyl-	 
1726-66-5	Aluminium, tris(decyl)-	 
1738-25-6	Propionitrile, 3-(dimethylamino)-	3-Dimethylaminopropiononitrile
1758-73-2	Methanesulfinic acid, aminoimino-	 
1760-24-3	1,2-Ethanediamine, N-[3-(trimethoxysilyl)propyl]-	 
1761-71-3	Cyclohexanamine, 4,4'-methylenebis-	4,4'-methylenebis(cyclohexylamine)
1762-27-2	Diethyldimethylplumbane	 
1762-95-4	Ammonium thiocyanate	Thiocyanic acid, ammonium salt
1763-23-1	Perfluorooctane sulfonic acid	PFOS
1787-61-7	sodium 3-hydroxy-4-[(1-hydroxy-2-naphthyl)azo]-7-nitronaphthalene-1-sulphonate	 
1809-19-4	Dibutyl phosphonate	Phosphonic acid, dibutyl ester
1817-47-6	Benzene, 1-(1-methylethyl)-4-nitro-	Nitrocumene
1824-74-4	7-chloro-1,3-dihydro-5-phenyl-2-oxo-2H-1,4-benzodiazepin-3-yl acetate	 
1836-75-5	Nitrofen	 
1843-05-6	Octabenzone	Methanone, [2-hydroxy-4-(octyloxy)phenyl]phenyl-
1847-58-1	Acetic acid, sulfo-, 1-dodecyl ester, sodium salt	 
1854-26-8	2-Imidazolidinone, 4,5-dihydroxy-1,3-bis	2-Imidazolidinone, 4,5-dihydroxy-1,3-bis(hydroxymethyl)-
1873-88-7	Trisiloxane, 1,1,1,3,5,5,5-heptamethyl-	 
1879-09-0	Phenol, 2-(1,1-dimethylethyl)-4,6-dimethyl-	6-tert-Butyl-2,4-xylenol
1885-14-9	Carbonochloridic acid, phenyl ester	 
1897-45-6	Chlorothalonil	 
1910-42-5	1,1-Dimethyl-4,4-bipyridinium dichloride	Paraquat
1912-24-9	Atrazine	1,3,5-Triazine-2,4-diamine, 6-chloro-N-ethyl-N'-(1-methylethyl)-
1928-43-4	2-Ethylhexyl 2,4-dichlorophenoxyacetate	 
1939-36-2	Glycine, N,N'-1,3-propanediylbis[N-(carboxymethyl)-	 
1940-42-7	4-Bromo-2,5-dichlorophenol	 
1948-33-0	1,4-Benzenediol, 2-(1,1-dimethylethyl)-	 
1982-69-0	Benzoic acid, 3,6-dichloro-2-methoxy-, sodium salt	 
1984-06-1	Sodium octanate	Octanoic acid, sodium salt
1984-58-3	Anisole, 2,5-dichloro-	Benzene, 1,4-dichloro-2-methoxy-
2001-94-7	Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, potassium salt (1:2)	 
2004-70-8	trans-Penta-1,3-diene	 
2043-53-0	Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iodo-	 
2043-54-1	Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-12-iodo-	 
2043-57-4	Octane, 1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-8-iodo-	 
2044-64-6	Butanamide, N,N-dimethyl-3-oxo-	 
2049-95-8	tert-pentylbenzene	 
2050-92-2	1-Pentanamine, N-pentyl-	 
2082-79-3	Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate	Irganox 1076
2084-69-7	1,2,3,4-Tetrahydro-1,1,2,4,4,7-hexamethylnaphthale	 
2091-29-4	9-Hexadecenoic acid, (Z)-	 
2100-42-7	Benzene, 1-Chloro-2,5-dimethoxy-	1-Chloro-2,5-dimethoxybenzene
2157-19-9	1,4,5,6,7,7-hexachlorobicyclo-hept-5-ene-2,3-dimethanol	1,4,5,6,7,7-hexachlorobicyclo-hept-5-ene-2,3-dimet
2162-99-4	1,8-Dichlorooctane	 
2163-00-0	Hexane, 1,6-dichloro-	 
2163-42-0	1,3-Propanediol, 2-methyl-	 
2173-57-1	2-Naphthylisobutylether	 
2182-55-0	(Vinyloxy)cyclohexane	 
2186-92-7	Benzene, 1-(dimethoxymethyl)-4-methoxy-	p-(Dimethoxymethyl)anisole
2212-67-1	Molinate	 
2215-35-2	Zinc tetrakis(1,3-dimethylbutyl)-bis(phosphorodithioate)	Zinc tetrakis(1,3-dimethylbutyl)-bis(phosphorodith
2216-51-5	L-Menthol	 
2216-69-5	1-Methoxynaphthalene	 
2217-82-5	Sodium [1,1'-biphenyl]-4-sulphonate	 
2219-82-1	Phenol, 2-tert-butyl-6-methyl-	2-tert-Butyl-6-methylphenol
2224-15-9	Ethylene glycol diglycidyl ether	 
2224-33-1	2-Butanone, O,O',O''-(ethenylsilylidyne)trioxime	 
2226-96-2	1-Piperidinyloxy, 4-hydroxy-2,2,6,6-tetramethyl-	 
2231-57-4	Carbonothioic dihydrazide	 
2235-00-9	2H-Azepin-2-one, 1-ethenylhexahydro-	 
2235-43-0	Phosphonic acid, [nitrilotris(methylene)]tris-, pentasodium salt	Phosphonic acid, +nitrilotris(methylene)
2235-54-3	Ammonium dodecyl sulfate	Sulfuric acid, monododecyl ester, ammonium salt
2243-62-1	1,5-Naphthalenediamine	 
2303-17-5	Tri-allate	 
2312-35-8	Propargite	 
2373-38-8	Succinic acid, sulfo-, bis(1,3-dimethylbutyl) ester, sodium	Butanedioic acid, sulfo-, 1,4-bis(1,3-dimethylbutyl) ester, sodium salt
2374-14-3	Cyclotrisiloxane, 2,4,6-trimethyl-2,4,6-tris(3,3,3-trifluoropropyl)-	 
2386-53-0	Sodium dodecane-1-sulfonate (C12 ASO3 Na)	 
2386-87-0	7-Oxabicyclo[4.1.0]heptane-3-carboxylic acid, 7-oxabicyclo[4.1.0]hept-3-ylmethyl ester	 
2392-48-5	2-Nitrobenzene, 4-chloro-1-(2,4-dichlorophenoxy)-	4-Chloro-1-(2,4-dichlorophenoxy)-2-nitrobenzene
2402-79-1	Pyridine, 2,3,5,6-tetrachloro-	 
2403-88-5	4-Piperidinol, 2,2,6,6-tetramethyl-	2,2,6,6-Tetramethyl-4-hydroxypiperidine
2409-55-4	Phenol, 2-(1,1-dimethylethyl)-4-methyl-	2-tert-Butyl-p-cresol
2416-94-6	Phenol, 2,3,6-trimethyl-	 
2425-77-6	1-Decanol, 2-hexyl-	2-Hexyldecan-1-ol
2426-08-6	Oxirane, (butoxymethyl)-	 
2431-50-7	1-Butene, 2,3,4-trichloro-	2,3,4-Trichlorobut-1-ene
2431-54-1	2-Butene, 1,2,4-trichloro-	1,2,4-trichlorobut-2-ene
2432-99-7	Undecanoic acid, 11-amino-	11-aminoundecanoic acid
2436-90-0	1,6-Octadiene, 3,7-dimethyl-	 
2437-23-2	Ammonium dodecanoate	 
2437-25-4	Dodecanenitrile	 
2439-35-2	2-(Dimethylamino)ethyl acrylate	2-Propenoic acid, 2-(dimethylamino)ethyl ester
2440-22-4	Phenol, 2-(2H-benzotriazol-2-yl)-4-methyl-	 
2451-62-9	Triglycidyl isocyanurate	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tris(oxiranymet...
2461-15-6	Oxirane, 2-[[(2-ethylhexyl)oxy]methyl]-	 
2487-90-3	Silane, trimethoxy-	 
2492-26-4	2(3H)-Benzothiazolethione, sodium salt	 
2494-89-5	Ethanol, 2-[(4-aminophenyl)sulfonyl]-, hydrogen sulfate (ester)	2-((p-Aminophenyl)sulphonyl)ethyl hydrogen sulphate
2495-25-2	Tridecyl 2-methacrylate	Methacrylic acid, tridecyl ester
2495-27-4	Hexadecyl methacrylate	2-Propenoic acid, 2-methyl-, hexadecyl ester
2495-39-8	Sodium 2-propenesulphonate	2-Propene-1-sulfonic acid, sodium salt
2517-43-3	1-Butanol, 3-methoxy-	3-Methoxybutan-1-ol
2524-03-0	Dimethyl chlorothiophosphate	Phosphorochloridothioic acid, O,O-dimethyl ester
2524-04-1	Diethyl chlorothiophosphate	Phosphorochloridothioic acid, O,O-diethyl ester
2526-62-7	Propanenitrile, 3-(trimethoxysilyl)-	 
2528-36-1	di-Butyl phenyl phosphate	Phosphoric acid, dibutyl phenyl ester
2530-44-1	Ethanol, 2,2'-(dodecyloxidoimino)bis-	 
2530-83-8	Silane, trimethoxy[3-(oxiranylmethoxy)propyl]-	 
2530-85-0	3-(Trimethoxysilyl)propyl methacrylate	 
2530-87-2	Silane, (3-chloropropyl)trimethoxy-	 
2536-05-2	2,2'-Diphenyl methane diisocyanate	2,2'-M.D.I.
2549-53-3	Tetradecyl methacrylate	2-Propenoic acid, 2-methyl-, tetradecyl ester
2550-06-3	Silane, (3-chloropropyl)trichloro-	 
2551-62-4	Sulfur hexafluoride (SF6)	Sulfur hexafluoride (SF6)
2571-88-2	Octadecanamine, N,N-dimethyl-, N-oxide	 
2579-20-6	1,3-Cyclohexanedimethanamine	 
2581-34-2	Phenol, 3-methyl-4-nitro-	 
2582-30-1	Aminoguanidinium hydrogen carbonate	 
2587-76-0	Trioctyltin chloride	 
2605-79-0	Decanamine, N,N-dimethyl-, N-oxide	 
2627-95-4	Disiloxane, 1,3-diethenyl-1,1,3,3-tetramethyl-	 
2634-33-5	1,2-Benzisothiazol-3(2H)-one	 
2666-14-0	1-Hydroxy-1,1-ethane-diphosphonic acid, 3Na Salt	 
2680-03-7	2-Propenamide, N,N-dimethyl-	 
2682-20-4	3(2H)-Isothiazolone, 2-methyl-	 
2687-25-4	Toluene-2,3-diamine	1,2-Benzenediamine, 3-methyl-
2687-91-4	2-Pyrrolidinone, 1-ethyl-	 
2687-94-7	2-Pyrrolidinone, 1-octyl-	 
2695-37-6	Vinylbenzenesulfonic acid sodium salt, 4-	 
2712-93-8	Dichlorofluoromethanesulphenyl chloride	 
2720-73-2	Potassium O-pentyl-dithiocarbonate	 
2764-72-9	Diquat	 
2768-02-7	Silane, ethenyltrimethoxy-	 
2772-45-4	Phenol, 2,4-bis(1-methyl-1-phenylethyl)-	 
2778-42-9	Benzene, 1,3-bis(1-isocyanato-1-methylethyl)-	 
2778-96-3	Octadecanoic acid, octadecyl ester	 
2783-94-0	2-Naphthalenesulfonic acid, 6-hydroxy-5-[(4-sulfophenyl)azo]-, disodium salt	 
2786-76-7	2-Naphthalenecarboxamide, 4-[[4-(aminocarbonyl)phenyl]azo]-N-(2-ethoxypheny	4-[[4-(Aminocarbonyl)phenyl]azo]-N-(2-ethoxyphenyl
2795-39-3	Perfluorooctane sulfonic acid, potassium salt	PFOS
2807-30-9	Ethanol, 2-propoxy-	2-Propoxyethanol
2809-21-4	Phosphonic acid, (1-hydroxyethylidene)bis-	Etidronic acid
2835-06-5	Benzeneacetic acid, alpha-amino-	DL-alpha-Phenylglycine
2837-89-0	Ethane, 2-chloro-1,1,1,2-tetrafluoro-	 
2855-13-2	Cyclohexylamine, 3-aminomethyl-3,5,5-trimethyl-	3-Aminomethyl-3,5,5-trimethylcyclohexylamine
2867-47-2	2-(Dimethylamino)ethyl methacrylate	2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester
2893-78-9	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3-dichloro, sodium	Troclosene sodium
2915-49-3	Bis(2-ethylhexan-1-yl) cyclohex-4-ene-1,2-dicarboxylate	 
2921-88-2	O,O-Diethyl O-3,5,6-trichloro-2-pyridyl phosphorothioate	 
2929-95-5	Zinc, bis[O,O-bis(1-methylethyl) phosphorodithioato-.kappa.S,.kappa.S']-, (T-4)-	 
2935-90-2	Propanoic acid, 3-mercapto-, methyl ester	 
2941-64-2	Formic acid, chlorothio-, S-ethyl ester	Carbonochloridothioic acid, S-ethyl ester
2943-75-1	Silane, triethoxyoctyl-	 
2948-46-1	1,4-Benzenedimethanol, .alpha.,.alpha.,.alpha.',.alpha.'-tetramethyl-	 
2980-64-5	Ammonium 4,6-dinitro-o-tolyl oxide	 
2996-92-1	Silane, trimethoxyphenyl-	 
3001-61-4	2-Imidazolidinone, 4,5-dihydroxy-1,3-bis(methoxymethyl)-	 
3006-82-4	Peroxyhexanoic acid, 2-ethyl-, tert-butyl ester	Hexaneperoxoic acid, 2-ethyl-, 1,1-dimethylethyl ester
3012-65-5	Diammonium hydrogen 2-hydroxypropane-1,2,3-tricarboxylate	 
3026-63-9	1-Tridecanol, hydrogen sulfate, sodium salt (C13 ASO4 Na)	 
3030-47-5	1,2-Ethanediamine, N-[2-(dimethylamino)ethyl]-N,N',N'-trimethyl-	 
3033-62-3	Ethaneamine, 2'-oxibis[N,N-dimethyl-]	 
3033-77-0	Oxiranemethanaminium, N,N,N-trimethyl-, chloride	2,3-Epoxypropyl trimethyl ammonium chloride
3039-83-6	Sodium ethenesulfonate	Ethenesulfonic acid, sodium salt
3041-23-4	Aluminum, trioctadecyl-	 
3048-64-4	Bicyclo[2.2.1]hept-2-ene, 5-ethenyl-	5-Vinylnorborn-2-ene
