CAS #	Substance Name	Retired CAS #s	Incorrect CAS #s
108-19-0	Imidodicarbonic diamide	1866-97-3	
26636-01-1	Acetic acid, 2,2'-[(dimethylstannylene)bis(thio)]bis-, 1,1'-diisooctyl ester	108772-35-6, 2259752-16-2, 30395-90-5, 52276-41-2, 52642-42-9, 55353-53-2, 55353-55-4	
598-56-1	Ethanamine, N,N-dimethyl-		
99-30-9	Benzenamine, 2,6-dichloro-4-nitro-	102-30-7, 1135443-69-4, 58916-70-4	
24794-58-9	Formic acid, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)	29867-95-6	
68443-85-6	Isooctadecanoic acid, monoamide with 2-[(2-aminoethyl)amino]ethanol		
598-72-1	Propanoic acid, 2-bromo-	10327-08-9	
36653-82-4	1-Hexadecanol	1173838-87-3, 124-29-8, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1	
68974-78-7	Phenol, thiobis[(tetrapropenyl)-, magnesium salt (1:?)		
108-20-3	Propane, 2,2'-oxybis-		
24800-25-7	1-Propanol, 2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]-		
7173-62-8	1,3-Propanediamine, N1-(9Z)-9-octadecen-1-yl-	152725-46-7, 51792-01-9, 648433-31-2	
119-47-1	Phenol, 2,2'-methylenebis[6-(1,1-dimethylethyl)-4-methyl-	107397-49-9, 110736-51-1, 111214-56-3, 12737-12-1, 129514-93-8, 149984-87-2, 37268-48-7, 52683-48-4, 537040-81-6, 53807-25-3, 54650-81-6, 56509-58-1, 59112-68-4, 62339-93-9, 67556-84-7, 69645-40-5, 90297-42-0, 92880-05-2	
74499-35-7	Phenol, (tetrapropenyl) derivs.		
141-23-1	Octadecanoic acid, 12-hydroxy-, methyl ester	1037310-42-1, 82008-61-5	
141-24-2	9-Octadecenoic acid, 12-hydroxy-, methyl ester, (9Z,12R)-	7705-99-9	
108-21-4	Acetic acid, 1-methylethyl ester		
24800-44-0	Propanol, [(1-methyl-1,2-ethanediyl)bis(oxy)]bis-	1293291-02-7, 204838-67-5, 205178-76-3, 25323-34-6, 32053-02-4	
61788-32-7	Terphenyl, hydrogenated	92-94-4	
125252-49-5	Bicyclo[3.1.1]heptan-2-ol, 2,6,6-trimethyl-, thermal-rearrangement products, linalool fractions, acid-isomerized, distn. residues, acid-isomerized, distn. lights, terpenoids		
74499-36-8	9,10-Anthracenedione, 1,4-diamino-, N,N'-mixed 2-ethylhexyl and Me and pentyl derivs.		
67827-79-6	1,2-Benzenedicarboxylic acid, 1,2-di-2-propen-1-yl ester, polymer with ethyl 2-propenoate and 2-methyl-2-propenoic acid, compd. with 2-(dimethylamino)ethanol		
71486-79-8	Benzenesulfonic acid, mono-C15-30-branched alkyl and di-C11-13-branched and linear alkyl derivs., calcium salts, overbased		
108-23-6	Carbonochloridic acid, 1-methylethyl ester	94274-22-3	
17438-89-0	1-Decene, dimer	81544-73-2	
87-90-1	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-trichloro-	1062228-50-5, 499583-31-2	
24851-98-7	Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester	128087-96-7	
3748-13-8	Benzene, 1,3-bis(1-methylethenyl)-		
61788-44-1	Phenol, styrenated	9010-16-6	
598-98-1	Propanoic acid, 2,2-dimethyl-, methyl ester		
99-51-4	Benzene, 1,2-dimethyl-4-nitro-		
119-61-9	Methanone, diphenyl-	1711678-21-5, 445389-89-9, 852361-03-6	
108-24-7	Acetic acid, 1,1'-anhydride	64-19-7	
26651-96-7	4,6,10-Dodecatrien-3-one, 7,11-dimethyl-		
61788-45-2	Amines, hydrogenated tallow alkyl	2407463-37-8, 52953-83-0, 54385-93-2, 54693-04-8, 56572-34-0, 8031-10-5, 8035-05-0, 8035-06-1	
30399-84-9	Isooctadecanoic acid	126539-56-8, 135152-99-7, 2326514-79-6, 57485-56-0, 85404-83-7	
72623-72-4	Amides, C14-18, N-[2-(C13-17-alkyl-4,5-dihydro-1H-imidazol-1-yl)ethyl]		
141-32-2	2-Propenoic acid, butyl ester	126492-54-4, 1361383-41-6, 1453490-09-9, 220713-31-5	
599-64-4	Phenol, 4-(1-methyl-1-phenylethyl)-	28261-59-8	
99-54-7	Benzene, 1,2-dichloro-4-nitro-		
61788-46-3	Amines, coco alkyl	1454651-18-3, 174593-28-3, 37334-76-2, 39281-05-5, 39444-39-8, 745822-74-6, 8034-99-9, 8035-00-5	
3757-76-4	Phenol, 2,4-dichloro-, sodium salt (1:1)	89284-82-2	
119-64-2	Naphthalene, 1,2,3,4-tetrahydro-		
72623-73-5	Amides, C12-18, N-(hydroxyethyl)		
61788-47-4	Fatty acids, coco	8034-70-6, 8034-71-7, 8045-26-9, 8045-28-1, 8045-95-2, 8045-96-3	
66028-01-1	Benzene, 1-[2-[2-(2-chloroethoxy)ethoxy]ethoxy]-4-octyl-		
10081-67-1	Benzenamine, 4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]-	108192-80-9, 1152781-85-5, 1203576-16-2, 125053-82-9, 1268470-54-7, 1429516-24-4, 1771743-81-7, 2055335-21-0, 867067-70-7, 934200-43-8	
108-30-5	2,5-Furandione, dihydro-	1123596-58-6	
67828-14-2	2-Naphthalenesulfonic acid, polymer with formaldehyde, potassium salt		
75-28-5	Propane, 2-methyl-	100494-20-0, 1326305-81-0, 70357-15-2	
55406-53-6	Carbamic acid, N-butyl-, 3-iodo-2-propyn-1-yl ester	104732-42-5, 1389329-45-6, 161849-41-8, 84826-91-5, 85045-09-6	
141-43-5	Ethanol, 2-amino-	2122854-11-7, 2169804-94-6, 9007-33-4	
72623-82-6	Imidazolium compounds, 2-C13-17-alkyl-1-(2-C14-18 amidoethyl)-4,5-dihydro-3-methyl, Me sulfates		
68987-29-1	1-Octadecanol, phosphate, potassium salt	56645-00-2	
68647-19-8	Phosphoric acid, isooctyl ester, potassium salt	68389-39-9	
72623-84-8	Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based, contg. solvent deasphalted residual oil		
108-31-6	2,5-Furandione	1190407-73-8, 1229972-04-6, 1380217-40-2, 184288-31-1, 2254521-46-3, 24937-72-2, 2949426-50-8	
141-52-6	Ethanol, sodium salt (1:1)	1628390-26-0, 24448-24-6	
68914-55-6	Alkenes, C18-24, ethylene polymn. by-product		
61788-59-8	Fatty acids, coco, Me esters		
72623-83-7	Lubricating oils (petroleum), C>25, hydrotreated bright stock-based		
27060-75-9	Benzene, 1-bromo-4-methoxy-2-methyl-		
68915-05-9	Fatty acids, tall-oil, low-boiling, reaction products with ammonia-ethanolamine reaction by-products		
72623-86-0	Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based		
61788-61-2	Fatty acids, tallow, Me esters		
602-01-7	Benzene, 1-methyl-2,3-dinitro-		
141-53-7	Formic acid, sodium salt (1:1)	1015855-65-8, 84050-15-7, 84050-16-8, 84050-17-9	
88-12-0	2-Pyrrolidinone, 1-ethenyl-	1229193-78-5, 153631-60-8, 94800-10-9	
72623-85-9	Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based, high-viscosity		
75-31-0	2-Propanamine	85404-24-6	
1912-24-9	1,3,5-Triazine-2,4-diamine, 6-chloro-N2-ethyl-N4-(1-methylethyl)-	11121-31-6, 12040-45-8, 12797-72-7, 39400-72-1, 69771-31-9, 93616-39-8	
61788-63-4	Amines, bis(hydrogenated tallow alkyl)methyl	61036-67-7	
68987-42-8	Benzene, ethylenated, residues		
68987-41-7	Benzene, ethylenated		
72623-87-1	Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based		
61788-62-3	Amines, dicoco alkylmethyl	56573-45-6, 61036-66-6	
108-32-7	1,3-Dioxolan-2-one, 4-methyl-	104083-03-6, 127128-76-1, 30141-77-6	
75-33-2	2-Propanethiol		
99-62-7	Benzene, 1,3-bis(1-methylethyl)-		
26680-54-6	2,5-Furandione, dihydro-3-(octen-1-yl)-		
61788-64-5	Fats and Glyceridic oils, fish, sulfated, sodium salts		
88-18-6	Phenol, 2-(1,1-dimethylethyl)-		
99-63-8	1,3-Benzenedicarbonyl dichloride	1640987-71-8, 188665-61-4	
61788-66-7	Fatty acids, vegetable-oil	8034-59-1	
68987-48-4	Benzene, (1-methylethyl)-, distn. residues, bis(1-methylethyl)benzene-rich		
2687-25-4	1,2-Benzenediamine, 3-methyl-		
68987-51-9	1,4-Benzenedicarboxylic acid, mixed esters with diethylene glycol, ethylene glycol and triethylene glycol		
108-38-3	Benzene, 1,3-dimethyl-		
68457-13-6	Cobalt, borate neodecanoate complexes		
18760-44-6	Thiophene, 3-(decyloxy)tetrahydro-, 1,1-dioxide		
36876-13-8	1,1'-Biphenyl, ar,ar'-bis(1-methylethyl)-	29225-90-9, 873853-31-7	
72624-02-3	Phenol, heptyl derivs.		
75-34-3	Ethane, 1,1-dichloro-		
36878-20-3	Benzenamine, ar-nonyl-N-(nonylphenyl)-	459412-04-5	
68025-37-6	Phenol, bis(1,1-dimethylethyl)dodecyl-		
68915-31-1	Polyphosphoric acids, sodium salts	197527-53-0, 197527-54-1, 197527-56-3, 37244-93-2, 37271-21-9, 53025-55-1, 58250-16-1, 79176-85-5, 8047-81-2, 83221-80-1, 83221-81-2	
793-24-8	1,4-Benzenediamine, N1-(1,3-dimethylbutyl)-N4-phenyl-	50809-58-0, 76600-84-5	
66046-78-4	1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, compd. with 1,2-ethanediamine (2:1)		
603-35-0	Phosphine, triphenyl-	112771-47-8, 1198579-87-1, 630403-25-7	
68457-74-9	Phenol, isobutylenated methylstyrenated		
74664-94-1	Amides, from polyethylenepolyamines and tall-oil fatty acids		
13031-41-9	Benzonitrile, 4-(acetyloxy)-		
61788-76-9	Alkanes, chloro	11104-09-9, 12633-77-1, 188265-19-2, 51059-93-9, 53572-39-7, 69430-53-1, 900167-11-5	
50-00-0	Formaldehyde	1053659-79-2, 112068-71-0, 1156543-56-4, 1158237-02-5, 1196157-74-0, 1227476-28-9, 1357848-44-2, 1416946-65-0, 1609158-91-9, 2100305-91-5, 8005-38-7, 8006-07-3, 8013-13-6	
68457-79-4	Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters, zinc salts		
68915-39-9	Cyclohexane, oxidized, aq. ext., sodium salt		
99-71-8	Phenol, 4-(1-methylpropyl)-		
68987-66-6	Ethene, hydrated, by-products from		
108-39-4	Phenol, 3-methyl-		
68915-38-8	Cyclohexane, oxidized, aq. ext.		
141-78-6	Acetic acid ethyl ester		
61788-85-0	Castor oil, hydrogenated, ethoxylated	113148-98-4, 113148-99-5, 12656-75-6, 1360903-44-1, 1952305-33-7, 2096302-55-3, 37224-21-8, 391639-38-6, 51395-91-6, 55963-15-0, 56093-64-2, 56093-65-3, 562107-40-8, 57126-57-5, 57176-39-3, 60649-24-3, 60649-25-4, 60842-68-4, 62886-94-6, 865083-36-9	
5460-09-3	2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-, sodium salt (1:1)		
1918-02-1	2-Pyridinecarboxylic acid, 4-amino-3,5,6-trichloro-		
2691-41-0	1,3,5,7-Tetrazocine, octahydro-1,3,5,7-tetranitro-	121631-13-8, 141615-54-5, 5222-46-8, 66038-26-4, 66745-90-2, 97956-01-9	
64051-50-9	2,5-Pyrrolidinedione, 1,1'-[iminobis(2,1-ethanediylimino-2,1-ethanediyl)]bis[3-(octadecen-1-yl)-		
99-75-2	Benzoic acid, 4-methyl-, methyl ester		
68457-85-2	Sulfuric acid, esters, wastes		
811-97-2	Ethane, 1,1,1,2-tetrafluoro-		
75-35-4	Ethene, 1,1-dichloro-	2891909-59-2	
61788-89-4	Fatty acids, C18-unsatd., dimers	123997-55-7, 1450829-02-3, 37317-30-9, 872420-55-8	
3779-63-3	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tris(6-isocyanatohexyl)-	111566-06-4, 112901-98-1, 122782-48-3, 127545-84-0, 134016-53-8, 140687-52-1, 1447694-95-2, 1629856-25-2, 1897365-30-8, 192140-88-8, 808167-79-5	
30558-43-1	Ethanimidothioic acid, 2-(dimethylamino)-N-hydroxy-2-oxo-, methyl ester	76274-46-9	
68647-55-2	Fatty acids, tall-oil, esters with triethanolamine	64754-91-2	
99-76-3	Benzoic acid, 4-hydroxy-, methyl ester	1000398-37-7, 156291-94-0, 58339-84-7	
88-44-8	Benzenesulfonic acid, 2-amino-5-methyl-		
26741-53-7	2,4,8,10-Tetraoxa-3,9-diphosphaspiro[5.5]undecane, 3,9-bis[2,4-bis(1,1-dimethylethyl)phenoxy]-	106234-83-7, 1233874-33-3, 1251905-26-6, 1627542-98-6, 2919347-95-6, 87498-44-0, 940968-66-1	
141-79-7	3-Penten-2-one, 4-methyl-		
75-36-5	Acetyl chloride		
61788-91-8	Amines, dimethylsoya alkyl		
68647-60-9	Hydrocarbons, C>4		
88-51-7	Benzenesulfonic acid, 2-amino-4-chloro-5-methyl-		
68152-92-1	Tall oil, disproportionated		
3806-34-6	2,4,8,10-Tetraoxa-3,9-diphosphaspiro[5.5]undecane, 3,9-bis(octadecyloxy)-	2417948-51-5, 533936-17-3, 62132-43-8, 86403-19-2, 940968-65-0	
30574-97-1	2-Butenenitrile, 2-methyl-, (2E)-		
61788-95-2	Amines, (hydrogenated tallow alkyl)dimethyl	59978-02-8	
5466-77-3	2-Propenoic acid, 3-(4-methoxyphenyl)-, 2-ethylhexyl ester	1202568-70-4, 155867-04-2	
41317-15-1	Benzenamine, 4-methoxy-2-methyl-N-phenyl-		
88-53-9	Benzenesulfonic acid, 2-amino-5-chloro-4-methyl-		
496-72-0	1,2-Benzenediamine, 4-methyl-		
26748-47-0	Neodecaneperoxoic acid, 1-methyl-1-phenylethyl ester	156858-77-4	
61789-01-3	Fatty acids, tall-oil, epoxidized, 2-ethylhexyl esters	37191-45-0, 39393-73-2, 39443-18-0, 68648-15-7	
75-37-6	Ethane, 1,1-difluoro-	71281-71-5	
108-44-1	Benzenamine, 3-methyl-		
26748-41-4	Neodecaneperoxoic acid, 1,1-dimethylethyl ester	53712-43-9	
68987-90-6	Poly(oxy-1,2-ethanediyl), .alpha.-(octylphenyl)-.omega.-hydroxy-, branched		
13048-33-4	2-Propenoic acid, 1,1'-(1,6-hexanediyl) ester	106717-06-0, 1220287-86-4, 126038-89-9, 174845-65-9, 181826-08-4, 1934258-74-8, 198694-76-7, 2648990-16-1, 671774-75-7, 74872-03-0, 88250-32-2	
68333-22-2	Residues (petroleum), atmospheric		
88-60-8	Phenol, 2-(1,1-dimethylethyl)-5-methyl-		
24991-55-7	Poly(oxy-1,2-ethanediyl), .alpha.-methyl-.omega.-methoxy-	1194542-96-5, 144808-02-6, 144808-03-7, 2414559-30-9, 52755-96-1, 847145-59-9, 890090-87-6	
61789-04-6	Glycerides, coco mono-, sulfated, sodium salts		
99-87-6	Benzene, 1-methyl-4-(1-methylethyl)-	25155-15-1, 99-86-5	
68333-23-3	Naphtha (petroleum), heavy coker		
68647-68-7	Soybean oil, ester with pentaerythritol		
68915-66-2	Fatty acids, C5-10, esters with polypentaerythritol		
51806-23-6	Propanedioic acid, 2-(3-oxo-2-pentylcyclopentyl)-, 1,3-dimethyl ester		
7320-37-8	Oxirane, 2-tetradecyl-	151284-10-5	
50-21-5	Propanoic acid, 2-hydroxy-	1334714-39-4, 152-36-3, 598-82-3	
71549-79-6	Benzenesulfonic acid, mono-C15-30-branched alkyl and di-C11-13-branched and linear alkyl derivs.		
68333-26-6	Clarified oils (petroleum), hydrodesulfurized catalytic cracked		
61789-09-1	Monoglycerides, hydrogenated tallow	113552-58-2, 117628-78-1	
68333-25-5	Distillates (petroleum), hydrodesulfurized light catalytic cracked		
2702-72-9	Acetic acid, 2-(2,4-dichlorophenoxy)-, sodium salt (1:1)	37353-58-5, 58318-52-8, 67924-78-1	
68153-02-6	Nitriles, C16-22	891491-62-6	
68647-71-2	Tall oil, potassium salt		
68333-27-7	Distillates (petroleum), hydrodesulfurized intermediate catalytic cracked		
108-45-2	1,3-Benzenediamine	1266121-34-9, 1274866-89-5	
75-38-7	Ethene, 1,1-difluoro-	1272398-81-8, 2253988-69-9	
606-20-2	Benzene, 2-methyl-1,3-dinitro-		
67845-26-5	4H-Pyran-4-one, tetrahydro-3,5-bis(hydroxymethyl)-		
68647-72-3	Terpenes and Terpenoids, sweet orange-oil		
5468-75-7	Butanamide, 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(2,1-diazenediyl)]bis[N-(2-methylphenyl)-3-oxo-	105054-14-6, 113170-04-0, 195245-66-0, 253326-55-5	
99-93-4	Ethanone, 1-(4-hydroxyphenyl)-		
68153-06-0	Fats and Glyceridic oils, herring	94349-82-3	
141-97-9	Butanoic acid, 3-oxo-, ethyl ester		
99-94-5	Benzoic acid, 4-methyl-	852148-36-8	
68333-29-9	Residues (petroleum), light naphtha solvent extracts		
70693-06-0	Aromatic hydrocarbons, C9-11		
7327-60-8	Acetonitrile, 2,2',2''-nitrilotris-		
25013-15-4	Benzene, ethenylmethyl-	1202865-10-8, 1216569-45-7, 1321-45-5	
93924-07-3	Alkanes, C10-14		
88-68-6	Benzamide, 2-amino-		
99-96-7	Benzoic acid, 4-hydroxy-		
141-98-0	Carbamothioic acid, N-ethyl-, O-(1-methylethyl) ester		
30618-84-9	Acetic acid, 2-mercapto-, monoester with 1,2,3-propanetriol		
108-46-3	1,3-Benzenediol		
68551-07-5	Alcohols, C8-18		
26761-40-0	1,2-Benzenedicarboxylic acid, 1,2-diisodecyl ester	105009-98-1, 1341-39-5, 148384-02-5	
68551-10-0	1-Propene, hydroformylation products		
72749-55-4	Imidazolium compounds, 2-(C17 and C17-unsatd. alkyl)-1-[2-(C18 and C18-unsatd. amido)ethyl]-4,5-dihydro-1-methyl, Me sulfates		
25013-16-5	Phenol, (1,1-dimethylethyl)-4-methoxy-	1336-31-8, 37349-77-2, 56587-66-7, 57534-28-8, 8003-24-5, 8041-81-4, 9009-68-1	
125715-37-9	Shale oils, hydrocracked		
120-40-1	Dodecanamide, N,N-bis(2-hydroxyethyl)-	15517-64-3, 267663-44-5, 39341-48-5, 8066-83-9, 83452-99-7, 83590-20-9, 92680-75-6	
99-97-8	Benzenamine, N,N,4-trimethyl-	129899-34-9	
815-17-8	Butanoic acid, 3,3-dimethyl-2-oxo-		
68153-23-1	Peanut oil, glycerol trioleate-enriched, sulfated, sodium salt		
88-72-2	Benzene, 1-methyl-2-nitro-	57158-05-1	
68153-22-0	Paraffin waxes and Hydrocarbon waxes, oxidized	68649-45-6, 72067-06-2, 85746-45-8	
68988-22-7	1,4-Benzenedicarboxylic acid, 1,4-dimethyl ester, manuf. of, by-products from	70693-27-5	
68551-11-1	1-Propene, hydroformylation products, high-boiling		
26761-45-5	Neodecanoic acid, 2-oxiranylmethyl ester	1226501-75-2	
75-44-5	Carbonic dichloride	1173022-33-7, 957761-04-5	
2717-15-9	9-Octadecenoic acid (9Z)-, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)	39703-33-8, 59680-30-7	
37143-54-7	2-Propanamine, 1-methoxy-	123410-24-2	
55701-05-8	Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-	80225-30-5	
142-16-5	2-Butenedioic acid (2Z)-, 1,4-bis(2-ethylhexyl) ester	48075-77-0, 77666-69-4	
7328-97-4	Oxirane, 2,2',2'',2'''-[1,2-ethanediylidenetetrakis(4,1-phenyleneoxymethylene)]tetrakis-	142996-94-9, 1648911-49-2	
7795-95-1	1-Octanesulfonyl chloride		
68915-97-9	Gas oils (petroleum), straight-run, high-boiling		
99-99-0	Benzene, 1-methyl-4-nitro-		
1929-82-4	Pyridine, 2-chloro-6-(trichloromethyl)-	1135442-91-9	
68153-30-0	Quaternary ammonium compounds, benzylbis(hydrogenated tallow alkyl)methyl, salts with bentonite		
88-73-3	Benzene, 1-chloro-2-nitro-		
68551-16-6	Alkanes, C9-11-iso-		
108-59-8	Propanedioic acid, 1,3-dimethyl ester		
125904-11-2	Benzene, ethenyl-, ar-bromo derivs.		
61789-30-8	Fatty acids, coco, potassium salts	769136-44-9	
68915-96-8	Distillates (petroleum), heavy straight-run		
125904-10-1	Benzene, (2-bromoethyl)-, ar-bromo derivs.		
120-51-4	Benzoic acid, phenylmethyl ester	120-55-8	
50594-44-0	Phenol, 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitro-, 1-acetate		
75-45-6	Methane, chlorodifluoro-	134191-96-1, 191542-01-5, 25497-29-4, 73666-77-0	
68551-17-7	Alkanes, C10-13-iso-		
61789-31-9	Fatty acids, coco, sodium salts		
7336-20-1	Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-amino-, sodium salt (1:2)	465534-69-4	
125997-20-8	Phosphoric acid, mixed 3-bromo-2,2-dimethylpropyl and 2-bromoethyl and 2-chloroethyl esters		
142-22-3	2,5,8,10-Tetraoxatridec-12-enoic acid, 9-oxo-, 2-propen-1-yl ester	129979-20-0, 143318-68-7, 37248-45-6	
68551-20-2	Alkanes, C13-16-iso-		
100-00-5	Benzene, 1-chloro-4-nitro-	25167-93-5	
61789-32-0	Fatty acids, coco, 2-sulfoethyl esters, sodium salts	131015-91-3, 218433-02-4, 58969-27-0, 85681-84-1	
68551-19-9	Alkanes, C12-14-iso-		
75-46-7	Methane, trifluoro-	185009-29-4	
88-74-4	Benzenamine, 2-nitro-		
108-63-4	Hexanedioic acid, 1,6-bis(1-methylheptyl) ester		
68988-46-5	Phosphorodithioic acid, mixed O,O-bis(iso-Bu and isooctyl and pentyl) esters, zinc salts		
68037-46-7	2-Propenoic acid, methyl ester, homopolymer, hydrolyzed, sodium salt		
120-55-8	Ethanol, 2,2'-oxybis-, 1,1'-dibenzoate	773104-50-0	
50594-77-9	Phenol, 3-[2-chloro-4-(trifluoromethyl)phenoxy]-, 1-acetate		
125997-22-0	Alkenes, C2-3, hydroformylation products, C6-24 fraction		
3844-45-9	Benzenemethanaminium, N-ethyl-N-[4-[[4-[ethyl[(3-sulfophenyl)methyl]amino]phenyl](2-sulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-3-sulfo-, inner salt, sodium salt (1:2)	1314116-65-8, 145087-80-5, 1848225-75-1, 511534-53-5, 70992-30-2, 73319-02-5, 82526-32-7, 83155-13-9	
61789-39-7	1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., chlorides, sodium salts		
1934-21-0	1H-Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[2-(4-sulfophenyl)diazenyl]-, sodium salt (1:3)	117209-34-4, 12000-64-5, 134240-82-7, 1342-47-8, 1342-53-6, 139601-06-2, 154881-98-8, 183808-13-1, 191807-79-1, 389057-90-3, 469888-21-9, 50809-64-8, 642-62-6, 84842-94-4	
5518-18-3	Hexadecanamide, N,N'-1,2-ethanediylbis-		
30704-64-4	Formaldehyde, polymer with 4-(1,1-dimethylethyl)phenol, 2-methyloxirane and oxirane	1022083-29-9	
68153-38-8	Resin acids and Rosin acids, esters with diethylene glycol	205599-73-1, 68424-98-6, 8050-22-4	
64147-40-6	Castor oil, dehydrated	8006-52-8	
818-08-6	Stannane, dibutyloxo-	144377-64-0, 695165-22-1	
108-65-6	2-Propanol, 1-methoxy-, 2-acetate	142300-82-1, 84540-57-8	
142-29-0	Cyclopentene	33004-05-6	
5521-31-3	Anthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-1,3,8,10(2H,9H)-tetrone, 2,9-dimethyl-	1039727-77-9, 136511-24-5, 151833-81-7, 152950-71-5, 167139-79-9, 51731-78-3, 52349-09-4, 73562-11-5, 872217-79-3, 89900-37-8, 910615-93-9, 948550-43-4	
68551-33-7	Amines, tallow alkyl, ethoxylated, acetates (salts)	68911-76-2, 85408-54-4	
37203-80-8	Lignin, sodium salt		
818-61-1	2-Propenoic acid, 2-hydroxyethyl ester	139642-59-4, 1637456-67-7, 77210-89-0	
75-50-3	Methanamine, N,N-dimethyl-	4558-12-7	
61789-40-0	1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts	86243-76-7	
2738-06-9	2-Butanamine, N-ethyl-3-methyl-		
15214-89-8	1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-	107240-62-0, 114705-58-7, 1211475-04-5, 127889-32-1, 1390640-03-5, 155380-40-8, 155401-75-5, 1600517-24-5, 2146156-10-5, 2321346-04-5, 2949426-42-8, 382655-32-5, 82989-71-7, 936232-42-7	
88-75-5	Phenol, 2-nitro-	1773488-60-0	
142-30-3	3-Hexyne-2,5-diol, 2,5-dimethyl-		
501-53-1	Carbonochloridic acid, phenylmethyl ester	728010-31-9, 94274-21-2, 960053-05-8	
100-01-6	Benzenamine, 4-nitro-	1309774-69-3	
120-61-6	1,4-Benzenedicarboxylic acid, 1,4-dimethyl ester	202644-54-0, 63143-14-6	
7351-61-3	2-Propenoic acid, 2-methyl-, 3-(trichlorosilyl)propyl ester		
68648-24-8	Fatty acids, vegetable-oil, unsatd.		
108-67-8	Benzene, 1,3,5-trimethyl-		
75-52-5	Methane, nitro-	104306-48-1	
68648-23-7	Fatty acids, vegetable-oil, satd.		
70693-50-4	Phenol, 2,4-bis(1-methyl-1-phenylethyl)-6-[2-(2-nitrophenyl)diazenyl]-	1098589-90-2	
50-70-4	D-Glucitol	15060-73-8, 36134-87-9, 3959-53-3, 63800-20-4, 75398-79-7, 8013-15-8, 8014-89-9, 8036-93-9, 8042-39-5, 8045-74-7, 8046-05-7, 952319-42-5, 98201-93-5	
61789-45-5	Fatty acids, dehydrated castor-oil		
68153-60-6	Fatty acids, tall-oil, reaction products with diethylenetriamine, acetates		
68648-28-2	Linseed oil, ester with pentaerythritol		
142-47-2	L-Glutamic acid, sodium salt (1:1)	116268-41-8, 51959-41-2, 56974-54-0	
94094-93-6	Benzene, mono-C10-13-alkyl derivs., fractionation bottoms, heavy ends		
37220-82-9	9-Octadecenoic acid (9Z)-, ester with 1,2,3-propanetriol	1351937-60-4, 149370-77-4, 37310-82-0, 37348-67-7, 42610-89-9, 51202-39-2, 686341-31-1, 8052-34-4	
75-54-7	Silane, dichloromethyl-		
25036-25-3	Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane]	102256-86-0, 106946-06-9, 114732-94-4, 122729-21-9, 1232681-25-2, 1233377-31-5, 1259928-62-5, 1270267-49-6, 127691-67-2, 130254-18-1, 1702269-51-9, 178535-86-9, 219119-50-3, 294199-99-8, 306971-28-8	
502-44-3	2-Oxepanone	52004-64-5, 67184-99-0, 80137-66-2	
1939-36-2	Glycine, N,N'-1,3-propanediylbis[N-(carboxymethyl)-	161122-34-5	
108-68-9	Phenol, 3,5-dimethyl-	50356-23-5	
68648-31-7	Nitriles, C8-18 and C18-unsatd.		
61789-51-3	Naphthenic acids, cobalt salts	161279-65-8, 51806-61-2	
15233-47-3	1,4-Benzenediamine, N1-(1-methylheptyl)-N4-phenyl-		
88-85-7	Phenol, 2-(1-methylpropyl)-4,6-dinitro-	152212-20-9, 2813-95-8, 39403-80-0	
100-02-7	Phenol, 4-nitro-	856824-67-4, 856824-71-0	
68333-80-2	Alcohols, C14-16		
